date,localName,name,fixed,global,types
2010-01-01,New Year's Day,New Year's Day,False,True,['Public' 'Bank']
2010-01-18,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",False,True,['Public' 'Bank']
2010-02-12,Lincoln's Birthday,Lincoln's Birthday,False,False,['Observance']
2010-02-15,Washington's Birthday,Presidents Day,False,True,['Public' 'Bank']
2010-04-02,Good Friday,Good Friday,False,False,['Public']
2010-04-02,Good Friday,Good Friday,False,False,['Optional']
2010-05-08,Truman Day,Truman Day,False,False,['School' 'Authorities']
2010-05-31,Memorial Day,Memorial Day,False,True,['Public' 'Bank']
2010-07-05,Independence Day,Independence Day,False,True,['Public' 'Bank']
2010-09-06,Labor Day,Labour Day,False,True,['Public' 'Bank']
2010-10-11,Columbus Day,Columbus Day,False,False,['Public']
2010-10-11,Columbus Day,Columbus Day,False,True,['Bank']
2010-10-11,Indigenous Peoples' Day,Indigenous Peoples' Day,False,False,['Public']
2010-11-11,Veterans Day,Veterans Day,False,True,['Public' 'Bank']
2010-11-25,Thanksgiving Day,Thanksgiving Day,False,True,['Public' 'Bank']
2010-12-24,Christmas Day,Christmas Day,False,True,['Public' 'Bank']
2010-12-31,New Year's Day,New Year's Day,False,True,['Public' 'Bank']
2011-01-17,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",False,True,['Public' 'Bank']
2011-02-12,Lincoln's Birthday,Lincoln's Birthday,False,False,['Observance']
2011-02-21,Washington's Birthday,Presidents Day,False,True,['Public' 'Bank']
2011-04-22,Good Friday,Good Friday,False,False,['Public']
2011-04-22,Good Friday,Good Friday,False,False,['Optional']
2011-05-08,Truman Day,Truman Day,False,False,['School' 'Authorities']
2011-05-30,Memorial Day,Memorial Day,False,True,['Public' 'Bank']
2011-07-04,Independence Day,Independence Day,False,True,['Public' 'Bank']
2011-09-05,Labor Day,Labour Day,False,True,['Public' 'Bank']
2011-10-10,Columbus Day,Columbus Day,False,False,['Public']
2011-10-10,Columbus Day,Columbus Day,False,True,['Bank']
2011-10-10,Indigenous Peoples' Day,Indigenous Peoples' Day,False,False,['Public']
2011-11-11,Veterans Day,Veterans Day,False,True,['Public' 'Bank']
2011-11-24,Thanksgiving Day,Thanksgiving Day,False,True,['Public' 'Bank']
2011-12-26,Christmas Day,Christmas Day,False,True,['Public' 'Bank']
2012-01-02,New Year's Day,New Year's Day,False,True,['Public' 'Bank']
2012-01-16,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",False,True,['Public' 'Bank']
2012-02-12,Lincoln's Birthday,Lincoln's Birthday,False,False,['Observance']
2012-02-20,Washington's Birthday,Presidents Day,False,True,['Public' 'Bank']
2012-04-06,Good Friday,Good Friday,False,False,['Public']
2012-04-06,Good Friday,Good Friday,False,False,['Optional']
2012-05-08,Truman Day,Truman Day,False,False,['School' 'Authorities']
2012-05-28,Memorial Day,Memorial Day,False,True,['Public' 'Bank']
2012-07-04,Independence Day,Independence Day,False,True,['Public' 'Bank']
2012-09-03,Labor Day,Labour Day,False,True,['Public' 'Bank']
2012-10-08,Columbus Day,Columbus Day,False,False,['Public']
2012-10-08,Columbus Day,Columbus Day,False,True,['Bank']
2012-10-08,Indigenous Peoples' Day,Indigenous Peoples' Day,False,False,['Public']
2012-11-12,Veterans Day,Veterans Day,False,True,['Public' 'Bank']
2012-11-22,Thanksgiving Day,Thanksgiving Day,False,True,['Public' 'Bank']
2012-12-25,Christmas Day,Christmas Day,False,True,['Public' 'Bank']
